field_1, field_2,W01000558,W01000559,W01000560,W01000561,W01000613,W01000562,W01000565,W01000566,W01000567,W01000597,W01000617,W01000579,W01000581,W01000612,W01000618,W01000582,W01000583,W01000611,W01000623,W01000568,W01000569,W01000570,W01000572,W01000571,W01000573,W01000586,W01000577,W01000585,W01000595,W01000596,W01000555,W01000556,W01000575,W01000614,W01000622,W01000554,W01000580,W01000598,W01000599,W01000587,W01000588,W01000593,W01000553,W01000563,W01000564,W01000576,W01000615,W01000616,W01000589,W01000590,W01000591,W01000592,W01000594,W01000600,W01000601,W01000602,W01000603,W01000604,W01000605,W01000557,W01000578,W01000584,W01000609,W01000574,W01000606,W01000607,W01000608,W01000610,W01000619,W01000620,W01000621
Pembrokeshire 008E,W01000622,0,0,0,0,0,1,0,2,0,1,1,3,2,4,5,0,0,7,0,70,0,0,57,16,30,0,0,2,1,1,1,4,11,8,70,5,1,4,5,17,0,11,0,1,1,0,0,1,3,3,2,2,2,2,6,4,10,0,0,1,0,0,0,6,0,8,0,0,0,8,1
Pembrokeshire 009A,W01000554,0,0,0,1,1,1,0,1,2,1,1,0,0,5,6,0,0,16,0,65,1,0,75,31,29,8,0,3,4,2,2,0,11,13,3,35,10,17,20,24,0,20,0,0,0,3,1,0,2,4,1,1,11,14,18,24,15,0,1,2,0,1,0,33,0,17,2,2,0,7,2
Pembrokeshire 009B,W01000580,0,1,0,3,0,0,1,5,0,1,3,6,3,7,5,1,0,26,6,142,0,1,107,40,44,16,2,8,10,3,2,2,18,7,10,12,57,18,13,17,0,16,0,0,1,0,0,1,7,7,5,0,11,9,15,23,10,0,3,2,6,1,7,21,1,14,3,2,0,7,7
Pembrokeshire 009C,W01000598,0,1,0,1,1,0,2,1,1,1,0,1,0,3,0,0,1,15,4,88,1,0,55,24,26,12,3,9,7,6,3,0,11,8,4,18,5,115,40,41,1,43,2,1,0,1,0,1,6,6,7,1,15,16,35,35,13,2,1,1,1,0,2,51,0,12,6,3,1,2,3
Pembrokeshire 009D,W01000599,0,0,0,1,1,0,0,2,2,1,0,1,0,4,1,2,0,11,3,73,0,0,40,27,21,14,0,8,5,2,0,1,14,6,5,11,6,70,60,40,0,26,2,3,0,2,0,1,5,8,0,0,12,17,30,27,20,1,0,0,2,1,3,34,0,13,8,2,1,8,5
Pembrokeshire 010A,W01000587,0,0,0,2,0,0,1,2,1,1,0,2,0,1,1,1,1,15,2,71,0,0,58,25,21,5,0,5,1,6,6,0,19,12,13,2,4,18,19,108,4,56,1,0,0,1,1,1,6,12,9,2,36,3,10,27,13,0,1,1,1,3,0,40,0,12,2,1,0,4,3
Pembrokeshire 010B,W01000588,0,0,0,2,1,0,0,2,0,1,0,0,0,2,3,0,0,11,6,72,0,0,71,22,19,12,1,10,2,8,5,0,15,14,7,4,4,16,19,82,18,60,0,1,0,3,1,1,16,20,14,2,52,4,17,17,12,0,1,1,1,0,0,23,0,15,1,1,0,1,1
Pembrokeshire 010C,W01000593,0,0,0,3,0,0,0,1,0,0,0,1,0,6,4,0,0,15,0,100,3,0,95,39,30,12,0,7,6,3,3,0,26,20,23,8,4,18,32,116,2,74,0,0,0,2,0,1,22,14,14,2,60,14,22,20,16,0,0,0,1,1,2,40,0,20,7,3,2,5,2
Pembrokeshire 011A,W01000553,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,15,0,0,6,6,4,2,6,8,7,12,0,0,0,2,2,0,2,7,1,2,0,3,27,2,8,9,0,16,1,0,1,0,1,4,5,7,1,0,0,1,2,5,0,7,0,6,4,15,5,12,16
Pembrokeshire 011B,W01000563,0,0,2,2,0,1,1,2,1,0,0,0,1,1,2,1,0,8,2,20,0,0,9,7,4,1,3,5,10,8,0,1,2,1,0,1,0,5,0,1,0,4,2,13,4,15,7,9,1,2,0,0,0,5,11,9,3,0,0,11,0,4,2,17,0,5,3,8,7,12,15
